movie_id,genre
344854,Fantasy
765128,Documentary
765128,Drama
318081,Action
318081,Adventure
318081,Horror
318081,Sci-Fi
318081,Thriller
1921064,Action
1921064,Adventure
1921064,Drama
1921064,History
1921064,Romance
4057916,Animation
4057916,Family
268978,Biography
268978,Drama
110357,Adventure
110357,Animation
110357,Drama
110357,Family
110357,Musical
1397514,Action
1397514,Adventure
1397514,Comedy
1397514,Family
1397514,Fantasy
1397514,Sci-Fi
1985966,Animation
1985966,Comedy
1985966,Family
1985966,Fantasy
1985966,Sci-Fi
289765,Crime
289765,Drama
289765,Thriller
317648,Action
317648,Adventure
317648,Western
810913,Comedy
322259,Action
